2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:47:error error connecting to
2025:08:09 18:40:48:error error connecting to
2025:08:09 18:40:48:error error connecting to
2025:08:09 18:40:48:error error connecting to
2025:08:09 18:40:49:error error connecting to
2025:08:09 18:40:49:error error connecting to
2025:08:09 18:40:50:error error connecting to
2025:08:09 18:40:50:error error connecting to
2025:08:09 18:40:51:error error connecting to
2025:08:09 18:40:51:error error connecting to
2025:08:09 18:40:52:error error connecting to
2025:08:09 18:40:53:error error connecting to
2025:08:09 18:40:53:error error connecting to
2025:08:09 18:40:54:error error connecting to
2025:08:09 18:40:54:error error connecting to
2025:08:09 18:40:55:error error connecting to
2025:08:09 18:40:55:error error connecting to
2025:08:09 18:40:56:error error connecting to
2025:08:09 18:40:56:error error connecting to
2025:08:09 18:40:57:error error connecting to
2025:08:09 18:40:57:error error connecting to
2025:08:09 18:40:58:error error connecting to
2025:08:09 18:40:58:error error connecting to
2025:08:09 18:40:59:error error connecting to
2025:08:09 18:40:59:error error connecting to
2025:08:09 18:41:00:error error connecting to
2025:08:09 18:41:00:error error connecting to
2025:08:09 18:41:01:error error connecting to
2025:08:09 18:41:01:error error connecting to
2025:08:09 18:41:02:error error connecting to
2025:08:09 18:41:02:error error connecting to
2025:08:09 18:41:03:error error connecting to
2025:08:09 18:41:03:error Received shutdown signal: SIGINT
2025:08:09 18:41:23:error error connecting to
2025:08:09 18:41:23:error error connecting to
2025:08:09 18:41:23:error error connecting to
2025:08:09 18:41:23:error error connecting to
2025:08:09 18:41:23:error error connecting to
2025:08:09 18:41:24:error error connecting to
2025:08:09 18:41:24:error error connecting to
2025:08:09 18:41:24:error error connecting to
2025:08:09 18:41:25:error error connecting to
2025:08:09 18:41:25:error Received shutdown signal: SIGINT
2025:08:09 18:53:54:error Received shutdown signal: SIGINT
2025:08:09 16:23:21:error error connecting to redis
2025:08:09 16:23:21:error error connecting to redis
2025:08:09 16:23:21:error error connecting to redis
2025:08:09 16:23:21:error error connecting to redis
2025:08:09 16:23:21:error error connecting to redis
2025:08:09 16:23:22:error error connecting to redis
2025:08:09 16:23:22:error error connecting to redis
2025:08:09 16:23:22:error error connecting to redis
2025:08:09 16:23:23:error error connecting to redis
2025:08:09 16:23:23:error error connecting to redis
2025:08:09 16:23:23:error error connecting to redis
2025:08:09 16:23:24:error error connecting to redis
2025:08:09 16:23:24:error error connecting to redis
2025:08:09 16:23:25:error error connecting to redis
2025:08:09 16:23:25:error error connecting to redis
2025:08:09 16:23:26:error error connecting to redis
2025:08:09 16:23:26:error error connecting to redis
2025:08:09 16:23:27:error error connecting to redis
2025:08:09 16:23:27:error error connecting to redis
2025:08:09 16:23:28:error error connecting to redis
2025:08:09 16:23:28:error error connecting to redis
2025:08:09 16:23:29:error error connecting to redis
2025:08:09 16:23:29:error error connecting to redis
2025:08:09 16:23:30:error error connecting to redis
2025:08:09 16:23:30:error error connecting to redis
2025:08:09 16:23:31:error error connecting to redis
2025:08:09 16:23:31:error error connecting to redis
2025:08:09 16:23:32:error error connecting to redis
2025:08:09 16:23:32:error error connecting to redis
2025:08:09 16:23:33:error error connecting to redis
2025:08:09 16:23:33:error error connecting to redis
2025:08:09 16:23:34:error error connecting to redis
2025:08:09 16:23:34:error error connecting to redis
2025:08:09 16:23:35:error error connecting to redis
2025:08:09 16:23:36:error error connecting to redis
2025:08:09 16:23:36:error error connecting to redis
2025:08:09 16:23:37:error error connecting to redis
2025:08:09 16:23:37:error error connecting to redis
2025:08:09 16:23:38:error error connecting to redis
2025:08:09 16:23:38:error error connecting to redis
2025:08:09 16:23:39:error error connecting to redis
2025:08:09 16:23:39:error error connecting to redis
2025:08:09 16:23:40:error error connecting to redis
2025:08:09 16:23:40:error error connecting to redis
2025:08:09 16:23:41:error error connecting to redis
2025:08:09 16:23:41:error error connecting to redis
2025:08:09 16:23:42:error error connecting to redis
2025:08:09 16:23:42:error error connecting to redis
2025:08:09 16:23:43:error error connecting to redis
2025:08:09 16:23:43:error error connecting to redis
2025:08:09 16:23:44:error error connecting to redis
2025:08:09 16:23:44:error error connecting to redis
2025:08:09 16:23:45:error error connecting to redis
2025:08:09 16:23:45:error error connecting to redis
2025:08:09 16:23:46:error error connecting to redis
2025:08:09 16:23:46:error error connecting to redis
2025:08:09 16:23:47:error error connecting to redis
2025:08:09 16:23:47:error error connecting to redis
2025:08:09 16:23:48:error error connecting to redis
2025:08:09 16:23:48:error error connecting to redis
2025:08:09 16:23:49:error error connecting to redis
2025:08:09 16:23:49:error error connecting to redis
2025:08:09 16:23:50:error error connecting to redis
2025:08:09 16:23:50:error error connecting to redis
2025:08:09 16:23:51:error error connecting to redis
2025:08:09 16:23:51:error error connecting to redis
2025:08:09 16:23:51:error Error connecting to MongoDB: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025:08:09 16:23:52:error error connecting to redis
2025:08:09 16:23:52:error error connecting to redis
2025:08:09 16:23:53:error error connecting to redis
2025:08:09 16:23:53:error error connecting to redis
2025:08:09 16:23:54:error error connecting to redis
2025:08:09 16:23:54:error error connecting to redis
2025:08:09 16:23:55:error error connecting to redis
2025:08:09 16:23:55:error error connecting to redis
2025:08:09 16:23:56:error error connecting to redis
2025:08:09 16:23:56:error error connecting to redis
2025:08:09 16:23:57:error error connecting to redis
2025:08:09 16:23:57:error error connecting to redis
2025:08:09 16:23:58:error error connecting to redis
2025:08:09 16:23:58:error error connecting to redis
2025:08:09 16:23:59:error error connecting to redis
2025:08:09 16:23:59:error error connecting to redis
2025:08:09 16:24:00:error error connecting to redis
2025:08:09 16:24:00:error error connecting to redis
2025:08:09 16:24:01:error error connecting to redis
2025:08:09 16:24:01:error error connecting to redis
2025:08:09 16:24:02:error error connecting to redis
2025:08:09 16:24:02:error error connecting to redis
2025:08:09 16:24:03:error error connecting to redis
2025:08:09 16:24:03:error error connecting to redis
2025:08:09 16:24:04:error error connecting to redis
2025:08:09 16:24:04:error error connecting to redis
2025:08:09 16:24:05:error error connecting to redis
2025:08:09 16:24:05:error error connecting to redis
2025:08:09 16:24:06:error error connecting to redis
2025:08:09 16:24:06:error error connecting to redis
2025:08:09 16:24:07:error error connecting to redis
2025:08:09 16:24:07:error error connecting to redis
2025:08:09 16:24:08:error error connecting to redis
2025:08:09 16:24:08:error error connecting to redis
2025:08:09 16:24:09:error error connecting to redis
2025:08:09 16:24:09:error error connecting to redis
2025:08:09 16:24:10:error error connecting to redis
2025:08:09 16:24:10:error error connecting to redis
2025:08:09 16:24:11:error error connecting to redis
2025:08:09 16:24:11:error error connecting to redis
2025:08:09 16:24:12:error error connecting to redis
2025:08:09 16:24:12:error error connecting to redis
2025:08:09 16:24:13:error error connecting to redis
2025:08:09 16:24:13:error error connecting to redis
2025:08:09 16:24:14:error error connecting to redis
2025:08:09 16:24:14:error error connecting to redis
2025:08:09 16:24:15:error error connecting to redis
2025:08:09 16:24:15:error error connecting to redis
2025:08:09 16:24:16:error error connecting to redis
2025:08:09 16:24:16:error error connecting to redis
2025:08:09 16:24:17:error error connecting to redis
2025:08:09 16:24:17:error error connecting to redis
2025:08:09 16:24:18:error error connecting to redis
2025:08:09 16:24:18:error error connecting to redis
2025:08:09 16:24:19:error error connecting to redis
2025:08:09 16:24:19:error error connecting to redis
2025:08:09 16:24:20:error error connecting to redis
2025:08:09 16:24:20:error error connecting to redis
2025:08:09 16:24:21:error error connecting to redis
2025:08:09 16:24:21:error error connecting to redis
2025:08:09 16:24:22:error error connecting to redis
2025:08:09 16:24:22:error error connecting to redis
2025:08:09 16:24:23:error error connecting to redis
2025:08:09 16:24:23:error error connecting to redis
2025:08:09 16:24:24:error error connecting to redis
2025:08:09 16:24:24:error error connecting to redis
2025:08:09 16:24:25:error error connecting to redis
2025:08:09 16:24:25:error error connecting to redis
2025:08:09 16:24:26:error error connecting to redis
2025:08:09 16:24:26:error error connecting to redis
2025:08:09 16:24:27:error error connecting to redis
2025:08:09 16:24:27:error error connecting to redis
2025:08:09 16:24:28:error error connecting to redis
2025:08:09 16:24:28:error error connecting to redis
2025:08:09 16:24:29:error error connecting to redis
2025:08:09 16:24:29:error error connecting to redis
2025:08:09 16:24:30:error error connecting to redis
2025:08:09 16:24:30:error error connecting to redis
2025:08:09 16:24:31:error error connecting to redis
2025:08:09 16:24:31:error error connecting to redis
2025:08:09 16:24:32:error error connecting to redis
2025:08:09 16:24:32:error error connecting to redis
2025:08:09 16:24:33:error error connecting to redis
2025:08:09 16:24:33:error error connecting to redis
2025:08:09 16:24:34:error error connecting to redis
2025:08:09 16:24:34:error error connecting to redis
2025:08:09 16:24:35:error error connecting to redis
2025:08:09 16:24:35:error error connecting to redis
2025:08:09 16:24:36:error error connecting to redis
2025:08:09 16:24:36:error error connecting to redis
2025:08:09 16:24:37:error error connecting to redis
2025:08:09 16:24:37:error error connecting to redis
2025:08:09 16:24:38:error error connecting to redis
2025:08:09 16:24:38:error error connecting to redis
2025:08:09 16:24:39:error error connecting to redis
2025:08:09 16:24:39:error error connecting to redis
2025:08:09 16:24:40:error error connecting to redis
2025:08:09 16:24:40:error error connecting to redis
2025:08:09 16:24:41:error error connecting to redis
2025:08:09 16:24:41:error error connecting to redis
2025:08:09 16:24:42:error error connecting to redis
2025:08:09 16:24:42:error Received shutdown signal: SIGTERM
2025:08:09 16:35:02:error error connecting to redis Socket closed unexpectedly
2025:08:09 16:35:02:error error connecting to redis connect ECONNREFUSED 172.20.0.3:6379
2025:08:09 16:35:02:error error connecting to redis connect ECONNREFUSED 172.20.0.3:6379
2025:08:09 16:35:02:error error connecting to redis connect ECONNREFUSED 172.20.0.3:6379
2025:08:09 16:35:02:error error connecting to redis connect ECONNREFUSED 172.20.0.3:6379
2025:08:09 16:35:02:error error connecting to redis connect ECONNREFUSED 172.20.0.3:6379
2025:08:09 16:35:03:error Received shutdown signal: SIGTERM
